address;name;access;dtype;type;min_value;max_value
0;IRvTet1;read;float;mv;;
1;QRvTet1;read;float;mv;;
2;AmpRvTet1;read;float;mv;;
3;PhRvTet1;read;float;angle;;
4;IRvTet2;read;float;mv;;
5;QRvTet2;read;float;mv;;
6;AmpRvTet2;read;float;mv;;
7;PhRvTet2;read;float;angle;;
8;IFwCirc;read;float;mv;;
9;QFwCirc;read;float;mv;;
10;AmpFwCirc;read;float;mv;;
11;PhFwCirc;read;float;angle;;
12;IRvCirc;read;float;mv;;
13;QRvCirc;read;float;mv;;
14;AmpRvCirc;read;float;mv;;
15;PhRvCirc;read;float;angle;;
16;IFwLoad;read;float;mv;;
17;QFwLoad;read;float;mv;;
18;AmpFwLoad;read;float;mv;;
19;PhFwLoad;read;float;angle;;
20;IFwHybLoad;read;float;mv;;
21;QFwHybLoad;read;float;mv;;
22;AmpFwHybLoad;read;float;mv;;
23;PhFwHybLoad;read;float;angle;;
24;IRvCav;read;float;mv;;
25;QRvCav;read;float;mv;;
26;AmpRvCav;read;float;mv;;
27;PhRvCav;read;float;angle;;
28;IMO;read;float;mv;;
29;QMO;read;float;mv;;
30;AmpMO;read;float;mv;;
31;PhMO;read;float;angle;;
32;ILandau;read;float;mv;;
33;Qlandadu;read;float;mv;;
34;Amplandadu;read;float;mv;;
35;Phlandadu;read;float;angle;;
60;Plunger Moving Manual Tuning;read;bool;direct;;
61;Plunger Moving Up Manual Tuning;read;bool;direct;;
62;Plunger Moving Automatic Tuning;read;bool;direct;;
63;Plunger Moving Up Automatic tuning;read;bool;direct;;
64;Dephase MO Landau;read;float;angle;;
100;RvTet1;read;bool;special;;
100;RvTet2;read;bool;special;;
100;RvCirc;read;bool;special;;
100;FwLoad;read;bool;special;;
100;FwHybLoad;read;bool;special;;
100;RvCav;read;bool;special;;
100;Arcs;read;bool;special;;
100;Vacuum;read;bool;special;;
100;Manual Interlock;read;bool;special;;
100;External ITCK;read;bool;special;;
100;Plunger End Switch Up;read;bool;special;;
100;Plunger End Switch Down;read;bool;special;;
110;timestamp1;read;float;us;;
111;timestamp2;read;float;us;;
112;timestamp3;read;float;us;;
113;timestamp4;read;float;us;;
114;timestamp5;read;float;us;;
115;timestamp6;read;float;us;;
116;timestamp7;read;float;us;;
151;DACs Disable command;read;float;special;;
151;PIN SWITCH;read;float;special;;
151;FDL trigger to LoopsDiagBoard;read;float;special;;
151;Output to PLC;read;float;special;;
151;Output to MPS;read;float;special;;
151;Landau Moving Led;read;float;special;;
151;Landau Pulse Motor;read;float;special;;
151;Landau Dir Motor;read;float;special;;
151;Landay Moving Up Led;read;float;special;;
151;FDl Trigger for diagnostics purposes;read;float;special;;
151;Spare DO 01;read;float;special;;
151;Spare DO 02;read;float;special;;
151;Spare DO 03;read;float;special;;
