address;name;access;dtype;type;min_value;max_value
0;RvTet1;read_write;float;mv;0;1000
1;RvTet2;read_write;float;mv;0;1000
2;RvCirc;read_write;float;mv;0;1000
3;FwLoad;read_write;float;mv;0;1000
4;FwHybLoad;read_write;float;mv;0;1000
5;RvCav;read_write;float;mv;0;1000
6;manual Interlock;read_write;bool;direct;;
7;Disable ITCK_RvTet1;read_write;int;special;0;63
8;Disable ITCK_RvTet2;read_write;int;special;0;63
9;Disable ITCK_RvCirc;read_write;int;special;0;63
10;Disable ITCK_FwLoad;read_write;int;special;0;63
11;Disable ITCK_FwHybLoad;read_write;int;special;0;63
12;Disable ITCK_RvCav;read_write;int;special;0;63
13;Disable ITCK Arcs;read_write;int;special;0;63
14;Disable ITCK Vaccum;read_write;int;special;0;63
15;Disable ITCK Manual Interlock;read_write;int;special;0;63
16;Disable ITCK Plunger End Switches UP;read_write;int;special;0;63
17;Disable ITCK Plunger End Switches Down;read_write;int;special;0;63
18;Disable ITCK MPS;read_write;int;special;0;63
19;Samples to average;read_write;int;direct;0;7
20;PulseUp Logic Inversion;read_write;bool;direct;;
21;End Switches Connected to NO_NC contact ;read_write;int;direct;0;1
22;LookRef;read_write;bool;direct;;
23;QuadRef;read_write;int;direct;0;3
24;Spare DO 1;read_write;bool;direct;;
25;Spare DO 2;read_write;bool;direct;;
26;Spare DO 3;read_write;bool;direct;;
27;FDL Sw Trigger;read_write;bool;direct;;
100;Reset Interlocks Cav A;read_write;bool;direct;;
200;LandauTuningEnable;read_write;bool;direct;;
201;LandauTuningReset;read_write;bool;direct;;
202;MoveLandauUp;read_write;bool;direct;;
203;MoveLandauPLG;read_write;bool;direct;;
204;NumSteps;read_write;float;mv;0;1500
205;LandauPhaseOffset;read_write;float;angle;-180;180
206;LandauMarginUp;read_write;float;mv;0;50
207;Landau Margin Low;read_write;float;mv;0;10
208;Minimum Landau Amplitude;read_write;float;mv;0;1000
209;Landau Positive Enable;read_write;bool;direct;;
210;LandauAmpSetting;read_write;float;mv;0;1000
