address;name;access;dtype;type;min_value;max_value
0;Icav_loops;read_diag;float;mv;;
1;Qcav_loops;read_diag;float;mv;;
2;Icontrol;read_diag;float;mv;;
3;Qcontrol;read_diag;float;mv;;
4;IControl 1;read_diag;float;mv;;
5;QControl 1;read_diag;float;mv;;
6;IControl 2;read_diag;float;mv;;
7;QControl 2;read_diag;float;mv;;
8;Ierror;read_diag;float;mv;;
9;Qerror;read_diag;float;mv;;
10;IErrorAccum;read_diag;float;mv;;
11;QErrorAccum;read_diag;float;mv;;
12;Iref;read_diag;float;mv;;
13;Qref;read_diag;float;mv;;
14;IFwCav_loops;read_diag;float;mv;;
15;QFwCav_loops;read_diag;float;mv;;
16;IFwTet1_loops;read_diag;float;mv;;
17;QFwTet1_loops;read_diag;float;mv;;
18;IFwTet2_loops;read_diag;float;mv;;
19;QFwTet2_loops;read_diag;float;mv;;
20;IFwCircIn_loops;read_diag;float;mv;;
21;QFwCircIn_loops;read_diag;float;mv;;
22;IMO;read_diag;float;mv;;
23;QMO;read_diag;float;mv;;
24;ISpare1;read_diag;float;mv;;
25;QSpare1;read_diag;float;mv;;
26;ISpare2;read_diag;float;mv;;
27;QSpare2;read_diag;float;mv;;
28;IMuxCav;read_diag;float;mv;;
29;QMuxCav;read_diag;float;mv;;
30;IMuxFwCav;read_diag;float;mv;;
31;QMuxFwCav;read_diag;float;mv;;
32;IMuxFwTet1;read_diag;float;mv;;
33;QMuxFwTet1;read_diag;float;mv;;
34;IMuxFwTet2;read_diag;float;mv;;
35;QMuxFwTet2;read_diag;float;mv;;
36;IMuxFwCircIn;read_diag;float;mv;;
37;QMuxFwCircIn;read_diag;float;mv;;
38;AmpCav;read_diag;float;mv;;
39;AmpFw;read_diag;float;mv;;
40;AngCavFw;read_diag;float;angle;;
41;AngCavL;read_diag;float;angle;;
42;AngFwL;read_diag;float;angle;;
43;Vaccum1;read_diag;float;bool;;
44;Vaccum2;read_diag;float;bool;;
50;VCXO_Powered;read_diag;float;bool;;
51;VCXO_Ref;read_diag;float;bool;;
52;VCXO_Locked;read_diag;float;bool;;
53;VCXO Cable disconnected;read_diag;float;bool;;
299;tuning On;read_diag;float;bool;;
300;Tuning OnFwMinTuningEnablelatch;read_diag;float;bool;;
301;Freq Up;read_diag;float;bool;;
302;Manual Tuning On;read_diag;float;bool;;
303;ManualTuningFreqUp;read_diag;float;bool;;
400;EPS_ITCK_Delay;read_diag;float;bool;;
401;FIM_ITCK_Delay;read_diag;float;bool;;
402;FDL_trig_HW_input;read_diag;float;bool;;
403;FDL_trig_SW_input;read_diag;float;bool;;
